,date,text,sentiment
0,2023/12/19 6:40,Grayscale CEO Michael Sonnenshein believes the SEC needs to approve spot Bitcoin exchange-traded funds (ETFs) simultaneously.,"{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.6}"
1,2023/12/19 6:03,"In an exclusive interview with CryptoNews, Manhar Garegrat, the Country Head for India and Global Partnerships of Liminal Custody, shares insights into crypto industry's collaborations with India government.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
2,2023/12/19 5:55,"According to the Federal Court ruling on December 18, former Binance CEO Changpeng 'CZ' Zhao has been ordered to pay $150 million, while Binance will pay $2.7 billion to conclude the CFTC enforcement action.","{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.05}"
3,2023/12/19 5:35,"Some suggest EVM inscriptions are the latest way for retail to access low-cap coins, while others argue itâs an over-hyped fad. Whatever it is, itâs clogging up the blockchain.","{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.9}"
4,2023/12/19 5:31,A decision by bloXroute Labs to start censoring OFAC-sanctioned blocks has been seen as a loss for Ethereum censorship resistance.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
5,2023/12/19 5:25,"Yonsei found that during BTCâs rally in early December, the Binary CDD was also active, signaling recent activity by short-term holders.","{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.38}"
6,2023/12/19 4:50,"Cathie Wood led ARK Invest fund sold around 809, 441 Grayscale Bitcoin Trust (GBTC) shares worth $27.6 million on Monday.","{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.1}"
7,2023/12/19 4:10,Bitcoin's 150% surge pales in comparison to the staggering 266% return of listed mining companies and crypto firms like Coinbase.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
8,2023/12/19 4:00,"The South Korean city of Busan is edging closer to the launch of a long-awaited blockchain-powered digital assets trading platform, and has named a preferred bidder.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
9,2023/12/19 2:59,"The SEC has pushed back its decision on a roster of Ethereum ETFs, with the final date for a potential approval arriving in late May.","{'class': 'negative', 'polarity': -0.08, 'subjectivity': 0.64}"
10,2023/12/18 23:48,"The new CEO, Josh Swihart, has been the vice president at Electric Coin for nearly five years but recently took a four month stint away from the firm.","{'class': 'positive', 'polarity': 0.01, 'subjectivity': 0.38}"
11,2023/12/18 23:37,"NASDAQ-listed Bitcoin mining firm Cipher Mining Inc. has announced the purchase of 37,396 units of the latest Bitmain Antminer T21 series.","{'class': 'positive', 'polarity': 0.15, 'subjectivity': 0.65}"
12,2023/12/18 23:30,South Korean crypto market analysts think the worldwide crypto market cap could hit the $5 trillion mark in 2024 as global adoption continues.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
13,2023/12/18 22:48,"Tether asserts to have effectively immobilized 326 wallets, overseeing 435 million USDT, in cooperation with law enforcement agencies.","{'class': 'positive', 'polarity': 0.6, 'subjectivity': 0.8}"
14,2023/12/18 21:47,"Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.03}"
15,2023/12/18 21:09,"A former Lido holder has filed a class action lawsuit against the Lido decentralized autonomous organization (DAO), a governing body that manages the liquid staking protocol, according to a recent court document.","{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.26}"
16,2023/12/18 20:56,"BEEG's adoption skyrockets as 37% is minted within 2 hours and 15 minutes, attracting 4,300 holders. ","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
17,2023/12/18 19:46,"With the Financial Conduct Authority tightening regulations around crypto promotions, Revolut has announced the suspension of cryptocurrency buying services for UK business accounts starting in 2024.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.05}"
18,2023/12/18 19:14,"Over 33% of recent miner revenue has stemmed from transaction fees alone, which are booming thanks to Ordinals.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.23}"
19,2023/12/18 19:11,Fairshake has raised $78 million to support âpro-cryptoâ?candidates in the forthcoming 2024 US elections.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
20,2023/12/18 19:05,"Metaverse startup Improbable has sold its gaming subsidiary, MPG, to Irish video game company Keywords Studios for $96.8 million.","{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.2}"
21,2023/12/18 18:33,"Bitcoin may remain under pressure for a few days, but a collapse is unlikely as traders are expected to buy the dips in anticipation of a spot Bitcoin ETF.","{'class': 'negative', 'polarity': -0.27, 'subjectivity': 0.33}"
22,2023/12/18 18:18,"Blue-chip cryptocurrencies continue to pull lower from multi-month/year highs hit earlier in the month amid profit-taking ahead of what is expected to be a somewhat calmer and lower volume run in to the end of the year, as major market participants take time off for the Christmas holidays. But low cap markets continue to pump. Here are some of the biggest gainers on Uniswap.","{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.42}"
23,2023/12/18 18:15,The ad spot came as the U.S. Securities and Exchange Commission is looking at multiple spot crypto exchange-traded fund applications from asset managers.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
24,2023/12/18 18:11,"Bitcoin (BTC), the world's most valuable cryptocurrency, experienced a downturn over the weekend, falling to the $41,000 range. This decline is part of a broader trend that saw the global crypto market cap drop by over 8% in 24 hours, standing at $1.46 trillion. The market's sluggishness is partly due to a lack of fresh news on ETF applications.","{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.45}"
25,2023/12/18 18:04,Arweave founder Sam Williams has taken to X to allege storage solution company Irys has plans to fork his decentralized information storage firm.,"{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.4}"
26,2023/12/18 18:02,Fairshakes has raised $78 million to fund pro-crypto legislators and support leaders who support blockchain innovation in the United States.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
27,2023/12/18 18:00,"The investor claimed that 64% of Lido tokens are controlled by just a few venture capital firms, preventing ordinary investors from having any control over decisions.","{'class': 'negative', 'polarity': -0.23, 'subjectivity': 0.3}"
28,2023/12/18 18:00,"In the midst of the BONK meme coin frenzy, Solana Saga phones have become unexpected stars on the resale market, with one device reportedly fetching\xa0$5,000 on eBay.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 1.0}"
29,2023/12/18 17:55,"Since the famous meme post to BitcoinTalk, Bitcoin (BTC) is up roughly 100X.","{'class': 'positive', 'polarity': 0.2, 'subjectivity': 0.7}"
30,2023/12/18 17:35,"âWe are still investigating & we should be able to share an update soon,â?wrote a Zilliqa community moderator.","{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.62}"
31,2023/12/18 17:16,"Ethereum layer-2 network Arbitrum (ARB) reached a new all-time high in daily transactions over the weekend, joining Bitcoin under a waterfall of blockchain activity spurred by inscriptions.\r\n\r\nAccording to data from crypto market analysis platform IntoTheBlock, the network tapped 5.4 million...","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.33}"
